cu_num,M,N,K,q_dtype_w,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,192,1536,5120,torch.float8_e4m3fnuz,0,0,50.9249,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,59.3,185.32,0.0
80,1,512,7168,torch.float8_e4m3fnuz,10,1,11.5805,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.63,317.62,0.0
80,1,1280,8192,torch.float8_e4m3fnuz,11,0,14.3155,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.46,733.23,0.0
80,1,2112,7168,torch.float8_e4m3fnuz,11,0,13.4147,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,2.26,1129.37,0.0
80,1,4096,512,torch.float8_e4m3fnuz,9,0,4.2138,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,499.75,0.0
80,1,4608,4096,torch.float8_e4m3fnuz,11,0,10.5838,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,3.57,1784.58,0.0
80,1,4608,7168,torch.float8_e4m3fnuz,5,0,13.8515,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,4.77,2385.77,0.0
80,1,7168,256,torch.float8_e4m3fnuz,75,0,6.4606,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,0.57,286.29,0.0
80,1,7168,2304,torch.float8_e4m3fnuz,29,0,10.1762,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v2,3.25,1624.55,0.0
80,1,8192,1024,torch.float8_e4m3fnuz,15,0,6.4482,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,2.6,1303.62,0.0
80,1,9216,4096,torch.float8_e4m3fnuz,19,0,14.4331,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,5.23,2616.99,0.0
80,2,4608,4096,torch.float8_e4m3fnuz,5,0,10.661,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,7.08,1772.91,0.0
80,2,9216,4096,torch.float8_e4m3fnuz,5,0,14.4331,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,10.46,2618.55,0.0
80,4,4608,4096,torch.float8_e4m3fnuz,5,0,10.4863,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,14.4,1804.99,0.0
80,4,9216,4096,torch.float8_e4m3fnuz,11,0,14.6151,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,20.66,2589.02,0.0
80,8,4608,4096,torch.float8_e4m3fnuz,5,0,10.8626,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,27.8,1747.36,0.0
80,8,9216,4096,torch.float8_e4m3fnuz,5,0,15.0571,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,40.11,2519.01,0.0
80,16,512,7168,torch.float8_e4m3fnuz,24,0,10.7923,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,10.88,352.2,0.0
80,16,576,7168,torch.float8_e4m3fnuz,10,0,11.091,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,11.91,384.27,0.0
80,16,1536,7168,torch.float8_e4m3fnuz,10,0,11.2927,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,31.2,989.48,0.0
80,16,2112,7168,torch.float8_e4m3fnuz,24,0,11.7534,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,41.22,1303.55,0.0
80,16,3072,1536,torch.float8_e4m3fnuz,11,0,5.8974,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,25.6,820.95,0.0
80,16,4096,512,torch.float8_e4m3fnuz,9,0,4.939,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,13.59,452.81,0.0
80,16,4608,4096,torch.float8_e4m3fnuz,24,0,10.8403,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,55.72,1760.78,0.0
80,16,4608,7168,torch.float8_e4m3fnuz,5,0,14.1863,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,74.51,2346.79,0.0
80,16,7168,256,torch.float8_e4m3fnuz,75,0,6.629,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,8.86,312.03,0.0
80,16,7168,2048,torch.float8_e4m3fnuz,10,0,8.769,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,53.57,1703.98,0.0
80,16,7168,2304,torch.float8_e4m3fnuz,15,0,10.491,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,50.37,1599.59,0.0
80,16,9216,4096,torch.float8_e4m3fnuz,11,0,15.5867,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,77.5,2444.98,0.0
80,32,512,7168,torch.float8_e4m3fnuz,10,0,11.1022,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,21.16,354.18,0.0
80,32,576,7168,torch.float8_e4m3fnuz,10,0,11.199,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,23.6,392.45,0.0
80,32,1280,8192,torch.float8_e4m3fnuz,24,0,12.4575,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,53.87,869.34,0.0
80,32,1536,7168,torch.float8_e4m3fnuz,19,0,12.6967,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,55.5,892.97,0.0
80,32,2112,7168,torch.float8_e4m3fnuz,5,0,13.1607,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,73.62,1178.0,0.0
80,32,3072,1536,torch.float8_e4m3fnuz,112,0,6.9922,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,43.19,709.98,0.0
80,32,4096,512,torch.float8_e4m3fnuz,9,0,4.8822,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,27.49,486.6,0.0
80,32,4608,4096,torch.float8_e4m3fnuz,6,0,13.4935,a8w8_bpreshuffle_256x16x128x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_8x8x1_1x2_intrawave_v1,89.52,1430.34,0.0
80,32,4608,7168,torch.float8_e4m3fnuz,12,0,19.4019,a8w8_bpreshuffle_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v1,108.95,1729.44,0.0
80,32,7168,256,torch.float8_e4m3fnuz,75,0,6.8302,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,17.19,337.03,0.0
80,32,7168,2048,torch.float8_e4m3fnuz,119,0,11.0711,a8w8_bpreshuffle_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,84.86,1373.34,0.0
80,32,7168,2304,torch.float8_e4m3fnuz,119,0,11.6614,a8w8_bpreshuffle_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,90.64,1461.88,0.0
80,32,8192,1024,torch.float8_e4m3fnuz,119,0,7.4863,a8w8_bpreshuffle_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,71.71,1194.94,0.0
80,32,9216,4096,torch.float8_e4m3fnuz,119,0,18.4783,a8w8_bpreshuffle_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,130.74,2081.88,0.0
80,48,512,7168,torch.float8_e4m3fnuz,10,0,11.2279,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,31.38,361.89,0.0
80,48,2112,7168,torch.float8_e4m3fnuz,10,0,18.4707,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,78.68,849.22,0.0
80,48,4096,512,torch.float8_e4m3fnuz,9,0,5.3534,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,37.61,469.78,0.0
80,48,4608,7168,torch.float8_e4m3fnuz,113,0,22.5027,a8w8_bpreshuffle_256x48x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,140.91,1502.78,0.0
80,48,7168,256,torch.float8_e4m3fnuz,75,0,7.0126,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,25.12,361.55,0.0
80,48,7168,2304,torch.float8_e4m3fnuz,113,0,13.6727,a8w8_bpreshuffle_256x48x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,115.96,1266.3,0.0
80,64,512,7168,torch.float8_e4m3fnuz,10,0,11.1263,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,42.22,376.97,0.0
80,64,576,7168,torch.float8_e4m3fnuz,24,0,11.163,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,47.34,417.56,0.0
80,64,1280,8192,torch.float8_e4m3fnuz,19,0,13.7807,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,97.4,810.84,0.0
80,64,1536,7168,torch.float8_e4m3fnuz,19,0,16.9363,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,83.21,688.78,0.0
80,64,2112,7168,torch.float8_e4m3fnuz,112,0,18.9179,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,102.43,838.78,0.0
80,64,3072,1536,torch.float8_e4m3fnuz,114,0,9.0146,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,67.0,577.96,0.0
80,64,4096,512,torch.float8_e4m3fnuz,77,0,5.8414,a8w8_bpreshuffle_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,45.95,454.38,0.0
80,64,4608,4096,torch.float8_e4m3fnuz,114,0,16.3715,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,147.57,1204.92,0.0
